,id,latitude,longitude,Coordinates
0,2818,52.36575451387618,4.941419235184398,POINT (29294004.26702854 24072333.19079106)
1,3209,52.39022505041117,4.873924094742859,POINT (29278916.86348251 24061397.7626379)
2,20168,52.36508702680917,4.8935410078410095,POINT (29289721.69105516 24061792.65586083)
3,25428,52.37311440038617,4.883668196205626,POINT (29285930.57984116 24060879.60987052)
4,27886,52.386727316124684,4.892078070089338,POINT (29281877.15236629 24064813.43441492)
5,28658,52.37534217754822,4.857289350245441,POINT (29282644.59508765 24055474.82868578)
6,28871,52.367186808186005,4.8909177971296565,POINT (29288726.18877257 24061544.88347356)
7,29051,52.367725410445736,4.891511737154662,POINT (29288590.50473224 24061757.46309053)
8,31080,52.3513205418674,4.84838289937379,POINT (29290354.6966498 24049823.58928238)
9,41125,52.3789147700269,4.8832050564993645,POINT (29283821.32578523 24061673.99828438)
10,42970,52.36781447589647,4.890012023439633,POINT (29288417.11990737 24061444.3143411)
11,43980,52.3574562838326,4.861242085387215,POINT (29289386.32063751 24053574.22718975)
12,44129,52.380711229831924,4.886104318098604,POINT (29283455.45136432 24062583.11157627)
13,44391,52.37016998640934,4.914377826765493,POINT (29289879.37871442 24067118.91287966)
14,45246,52.37767639657083,4.876178648987073,POINT (29283598.5099571 24059951.60137917)
15,46386,52.35247025928299,4.908254440320653,POINT (29295604.05990599 24063053.85220233)
16,47061,52.36798609885809,4.874469331907506,POINT (29286887.50322464 24058083.08144263)
17,48076,52.3804200178011,4.894534735097551,POINT (29284355.38073336 24064375.37798079)
18,49790,52.362663786120464,4.861031740012395,POINT (29287512.43326224 24054332.4942862)
19,50515,52.37727239832183,4.839252562940868,POINT (29280252.13636964 24051842.73353112)
20,50518,52.38200613161477,4.878649621335048,POINT (29282290.13886296 24061158.49772397)
21,50523,52.36840789766318,4.884133704990546,POINT (29287650.47745696 24060254.62598028)
22,50570,52.377737441667115,4.848911991360075,POINT (29280999.83642412 24054019.32088308)
23,52490,52.370045892661075,4.9386912362462985,POINT (29292218.42500799 24072399.97969513)
24,53067,52.35339266870349,4.900637642957301,POINT (29294556.15041651 24061535.42395022)
25,53671,52.389053371113825,4.885588535129939,POINT (29280435.89627581 24063758.39218223)
26,53692,52.353483155689176,4.900490171525591,POINT (29294510.00008798 24061517.23068767)
27,55256,52.37125688886693,4.903513145133119,POINT (29288466.44203657 24064918.3309532)
28,55703,52.37560816034421,4.858187467526308,POINT (29282634.78143511 24055711.62063809)
29,55709,52.35895649627122,4.897259341005234,POINT (29292255.9013035 24061657.29057433)
30,55807,52.36965708064435,4.8620254265502405,POINT (29285116.46408148 24055628.97426019)
31,55868,52.356132975812436,4.885149546738222,POINT (29292117.13614639 24058581.58746079)
32,56879,52.38453334724865,4.892545431659382,POINT (29282702.63845038 24064576.66832773)
33,57408,52.361929788889256,4.936400957199159,POINT (29294892.8690481 24070649.47296723)
34,57978,52.36448156797004,4.877220554469521,POINT (29288395.32003348 24058141.74484064)
35,58211,52.369164791657006,4.8844453447991505,POINT (29287410.40419413 24060439.37450287)
36,62015,52.364452721531094,4.931235930520656,POINT (29293506.86883347 24069912.32760105)
37,62801,52.38458682993324,4.854626513131404,POINT (29279101.18405885 24056322.48045744)
38,64736,52.363481306084545,4.8678339776210455,POINT (29287864.35680662 24055941.35980164)
39,64769,52.362253841258536,4.901999344356419,POINT (29291529.4953807 24063199.35392587)
40,65230,52.368713041376715,4.892843389610457,POINT (29288364.60658176 24062200.13294181)
41,67841,52.35472482794198,4.893237543427079,POINT (29293382.71675252 24060127.565452)
42,68290,52.368870779675284,4.8952338913153035,POINT (29288534.23408648 24062745.5317587)
43,68873,52.36950063833623,4.895559709996519,POINT (29288340.7165695 24062913.74262299)
44,69042,52.373527199212894,4.876905973776999,POINT (29285144.70537173 24059469.55773482)
45,73208,52.3593509829142,4.876721555693788,POINT (29290174.92528533 24057241.00209952)
46,73917,52.37894280400968,4.890601996192832,POINT (29284510.0279743 24063290.33301495)
47,74367,52.37479553602839,4.880446471317074,POINT (29285027.57466256 24060436.95984765)
48,75382,52.364824885646925,4.9276155489234315,POINT (29293032.60563622 24069180.40806483)
49,75444,52.365509785021295,4.928480703679059,POINT (29292870.34985902 24069474.62928933)
50,76668,52.38897577588911,4.890432078271875,POINT (29280920.94911284 24064801.80155572)
51,80634,52.3797564854931,4.893977373685979,POINT (29284539.04436613 24064151.51247685)
52,80635,52.37875854166035,4.8926359365709455,POINT (29284767.74513107 24063705.15939889)
53,82482,52.370259733420504,4.8800301947340445,POINT (29286603.37578303 24059646.07291433)
54,82748,52.37307393018357,4.893431575249236,POINT (29286867.25175993 24063001.29654013)
55,83498,52.367227634831025,4.891235317846856,POINT (29288741.64539357 24061620.39474946)
56,84057,52.364877997706216,4.851095907658352,POINT (29285784.75161477 24052508.90622421)
57,91535,52.357253879494685,4.895879145277792,POINT (29292731.77418871 24061093.69583779)
58,96048,52.372700232233804,4.907761448144871,POINT (29288353.59212101 24066067.00558319)
59,97221,52.349103458307475,4.836112244063563,POINT (29289983.21270918 24046806.28106792)
60,97476,52.35637466896349,4.865793029491886,POINT (29290201.63279417 24054399.25062627)
61,107195,52.370074473314865,4.919603853810988,POINT (29290406.76316578 24068243.38390743)
62,107972,52.363971570386646,4.876509426612257,POINT (29288509.70853462 24057908.01403949)
63,108890,52.36082925431396,4.856667424731347,POINT (29287752.97154408 24053097.94144124)
64,115795,52.352437256002645,4.895948040507284,POINT (29294453.30669807 24060365.55719551)
65,118097,52.365705366407134,4.884636190342678,POINT (29288660.26148517 24059947.03405204)
66,118117,52.368883436047646,4.8695483308640055,POINT (29286102.94744627 24057149.07976501)
67,120872,52.38193171534977,4.855407320845144,POINT (29280120.40193335 24056082.49478938)
68,125425,52.360974573916025,4.927611460157401,POINT (29294403.43384327 24068585.83318686)
69,130390,52.35516967099702,4.8896934048978045,POINT (29292889.47001561 24059423.53178361)
70,137026,52.353609063743974,4.90562103218313,POINT (29294949.82800486 24062655.33710277)
71,141708,52.36460689704278,4.938920082534415,POINT (29294177.16399547 24071611.40919794)
72,147270,52.30617481870509,4.978865897717476,POINT (29318754.95436982 24071323.59819982)
73,148132,52.36859520946438,4.864870318764639,POINT (29285763.44276294 24056085.02266591)
74,150634,52.36673740948232,4.867455513006409,POINT (29286669.25804466 24056361.60671734)
75,152280,52.37961371756432,4.854432292549278,POINT (29280853.6073958 24055512.00703767)
76,156815,52.388922811024294,4.9402426395904735,POINT (29285641.02191031 24075648.37505766)
77,162467,52.363675893649386,4.855056296869676,POINT (29286587.17782686 24053186.40522422)
78,165833,52.3733601256194,4.857537320392232,POINT (29283373.75515234 24055222.75123392)
79,168769,52.37915713158128,4.894086123937185,POINT (29284762.7583538 24064082.71824394)
80,169356,52.381717144651354,4.883104127485947,POINT (29282813.84146624 24062084.58359248)
81,170223,52.36991235190708,4.882654520401399,POINT (29286975.01969914 24060164.43491443)
82,171054,52.36916386503589,4.86643475054097,POINT (29285708.83337934 24056513.78692458)
83,171631,52.36338791622051,4.8540234832459435,POINT (29286592.05587326 24052916.82556748)
84,175989,52.35963504731266,4.867128100371151,POINT (29289167.05116297 24055193.65646763)
85,179528,52.342312579431045,4.894194976598042,POINT (29297892.49190427 24058421.22408779)
86,184282,52.36321324239451,4.889051424334264,POINT (29289964.78329752 24060524.84521296)
87,188347,52.36823908012429,4.853210748039301,POINT (29284788.06313562 24053488.94231927)
88,189754,52.37433431603307,4.89246876049259,POINT (29286327.48105349 24062985.95307891)
89,190585,52.38487211819231,4.872481357594563,POINT (29280686.81076147 24060256.89567725)
90,190943,52.35221380860934,4.846612397531583,POINT (29289869.25633997 24049575.61181842)
91,193038,52.360871179686576,4.8955906497433865,POINT (29291416.49487094 24061588.93624936)
92,198307,52.38393030999055,4.89237125764235,POINT (29282900.95122439 24064445.64364201)
93,199844,52.38351266036433,4.875730763066735,POINT (29281477.90826231 24060755.04304608)
94,200461,52.35930674965399,4.8611084302365315,POINT (29288714.8802018 24053830.82950475)
95,201322,52.37184057754968,4.881707856110731,POINT (29286198.97144567 24060255.73837633)
96,203658,52.34743916227274,4.868860660076601,POINT (29293672.80066406 24053688.49780358)
97,204014,52.37086528996354,4.8659566161588055,POINT (29285057.83819478 24056672.29652555)
98,205759,52.36889187403649,4.864288391158311,POINT (29285602.8122186 24056004.00405722)
99,212050,52.368947036604595,4.864515338244789,POINT (29285604.62201145 24056061.98338484)
100,213721,52.35165078027672,4.8465334434469245,POINT (29290062.21741117 24049471.43806427)
101,214531,52.370688362374935,4.895157177391901,POINT (29287879.74694303 24063009.28040923)
102,217692,52.33761522397163,4.893596487180915,POINT (29299508.30194005 24057565.99915062)
103,219276,52.3689052504095,4.889704568580539,POINT (29287999.66366957 24061545.63386784)
104,221943,52.36563714208943,4.876398386996833,POINT (29287906.17231737 24058140.92163942)
